start_time,end_time,duration,class
0:00:00.467000,0:00:15.967000,0:00:15.500000,9 Class 10 other
0:00:15.967000,0:00:16.967000,0:00:01,0 Class 1 browsing the web
0:00:16.967000,0:00:17.967000,0:00:01,9 Class 10 other
0:00:17.967000,0:00:19.967000,0:00:02,0 Class 1 browsing the web
0:00:19.967000,0:00:20.967000,0:00:01,5 Class 6 IDE coding
0:00:20.967000,0:00:21.967000,0:00:01,0 Class 1 browsing the web
0:00:21.967000,0:00:23.467000,0:00:01.500000,9 Class 10 other
0:00:23.467000,0:00:26.967000,0:00:03.500000,5 Class 6 IDE coding
0:00:26.967000,0:00:28.467000,0:00:01.500000,9 Class 10 other
0:00:28.467000,0:00:29.467000,0:00:01,0 Class 1 browsing the web
0:00:29.467000,0:00:37.467000,0:00:08,6 Class 7 watching yt
0:00:37.467000,0:00:37.967000,0:00:00.500000,5 Class 6 IDE coding
0:00:37.967000,0:00:43.467000,0:00:05.500000,6 Class 7 watching yt
0:00:43.467000,0:01:32.467000,0:00:49,7 Class 8 using file explorer
0:01:32.467000,0:01:33.467000,0:00:01,3 Class 4 cmd command
0:01:33.467000,0:01:34.467000,0:00:01,2 Class 3 using github
0:01:34.467000,0:01:42.967000,0:00:08.500000,5 Class 6 IDE coding
0:01:42.967000,0:01:43.967000,0:00:01,2 Class 3 using github
0:01:43.967000,0:02:02.467000,0:00:18.500000,5 Class 6 IDE coding
0:02:02.467000,0:02:04.467000,0:00:02,9 Class 10 other
0:02:04.467000,0:02:04.967000,0:00:00.500000,5 Class 6 IDE coding
0:02:04.967000,0:02:07.467000,0:00:02.500000,7 Class 8 using file explorer
0:02:07.467000,0:02:10.467000,0:00:03,9 Class 10 other
0:02:10.467000,0:02:11.967000,0:00:01.500000,7 Class 8 using file explorer
0:02:11.967000,0:02:12.467000,0:00:00.500000,0 Class 1 browsing the web
0:02:12.467000,0:02:33.467000,0:00:21,5 Class 6 IDE coding
0:02:33.467000,0:02:34.467000,0:00:01,0 Class 1 browsing the web
0:02:34.467000,0:02:36.467000,0:00:02,7 Class 8 using file explorer
0:02:36.467000,0:02:39.467000,0:00:03,9 Class 10 other
0:02:39.467000,0:02:39.967000,0:00:00.500000,4 Class 5 editing docs
0:02:39.967000,0:03:27.467000,0:00:47.500000,7 Class 8 using file explorer
0:03:27.467000,0:03:28.967000,0:00:01.500000,0 Class 1 browsing the web
0:03:28.967000,0:03:40.467000,0:00:11.500000,9 Class 10 other
0:03:40.467000,0:04:15.467000,0:00:35,5 Class 6 IDE coding
0:04:15.467000,0:04:16.467000,0:00:01,9 Class 10 other
0:04:16.467000,0:04:20.967000,0:00:04.500000,7 Class 8 using file explorer
0:04:20.967000,0:04:21.967000,0:00:01,0 Class 1 browsing the web
0:04:21.967000,0:04:36.467000,0:00:14.500000,5 Class 6 IDE coding
0:04:36.467000,0:04:38.467000,0:00:02,7 Class 8 using file explorer
0:04:38.467000,0:04:45.467000,0:00:07,5 Class 6 IDE coding
0:04:45.467000,0:04:46.467000,0:00:01,0 Class 1 browsing the web
0:04:46.467000,0:05:00.967000,0:00:14.500000,5 Class 6 IDE coding
0:05:00.967000,0:05:04.467000,0:00:03.500000,0 Class 1 browsing the web
0:05:04.467000,0:05:06.467000,0:00:02,5 Class 6 IDE coding
0:05:06.467000,0:05:07.467000,0:00:01,0 Class 1 browsing the web
0:05:07.467000,0:05:32.967000,0:00:25.500000,5 Class 6 IDE coding
0:05:32.967000,0:05:33.467000,0:00:00.500000,9 Class 10 other
0:05:33.467000,0:05:38.467000,0:00:05,7 Class 8 using file explorer
0:05:38.467000,0:05:45.967000,0:00:07.500000,9 Class 10 other
0:05:45.967000,0:05:56.467000,0:00:10.500000,7 Class 8 using file explorer
0:05:56.467000,0:10:00,0:04:03.533000,5 Class 6 IDE coding
